"1000162445";"Конструктор LEGO Ninjago Сверхзвуковой самолёт 71739";"7999";"Чехия";"10189";"https://www.detmir.ru/product/index/id/3596973/"
"1000056185";"Конструктор LEGO DUPLO Town Железнодорожный мост (10872)";"2629";"Венгрия";"null";"https://www.detmir.ru/product/index/id/3092801/"
"1000126353";"Конструктор LEGO My City Современный дом для семьи 60291";"4199";"Чехия";"5389";"https://www.detmir.ru/product/index/id/3405578/"
"1000162172";"Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе 10946";"2149";"Венгрия";"2989";"https://www.detmir.ru/product/index/id/3596755/"
"1000162397";"Конструктор LEGO Super Mario Стартовый набор Приключения вместе с Луиджи 71387";"5299";"Чехия";"5989";"https://www.detmir.ru/product/index/id/3596925/"
"1000162174";"Конструктор LEGO DUPLO Town Гараж и автомойка 10948";"8499";"Венгрия";"10789";"https://www.detmir.ru/product/index/id/3596757/"
"1000126354";"Конструктор LEGO My City Центр города 60292";"8499";"Чехия";"10789";"https://www.detmir.ru/product/index/id/3405579/"
"1000126307";"Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные 10952";"5999";"Венгрия";"7789";"https://www.detmir.ru/product/index/id/3405532/"
"1000126300";"Конструктор LEGO DUPLO Classic Шкатулка-сердечко 10909";"1909";"Венгрия";"null";"https://www.detmir.ru/product/index/id/3405525/"
"1000162218";"Конструктор LEGO Creator Средневековый замок 31120";"8999";"Чехия";"10789";"https://www.detmir.ru/product/index/id/3596771/"
"1000126358";"Конструктор LEGO City Fire Спасательный пожарный вертолёт 60281";"2499";"Чехия";"2989";"https://www.detmir.ru/product/index/id/3405583/"
"1000162361";"Конструктор LEGO City Stunt 60299";"1599";"Чехия";"1789";"https://www.detmir.ru/product/index/id/3596889/"
"1000162134";"Конструктор LEGO DUPLO Disney Дом и кафе Минни 10942";"4299";"Венгрия";"5389";"https://www.detmir.ru/product/index/id/3596717/"
"1000126310";"Конструктор LEGO Classic Прозрачные кубики 11013";"3109";"Венгрия";"null";"https://www.detmir.ru/product/index/id/3405535/"
"1000126305";"Конструктор LEGO DUPLO Town Фермерский трактор и животные 10950";"1599";"Венгрия";"1909";"https://www.detmir.ru/product/index/id/3405530/"
"1000097808";"Конструктор LEGO DUPLO Classic Коробка с кубиками 10913";"3109";"Венгрия";"null";"https://www.detmir.ru/product/index/id/3226556/"
"1000162133";"Конструктор LEGO DUPLO Super Heroes Штаб-квартира Человека-паука 10940";"2499";"Венгрия";"3109";"https://www.detmir.ru/product/index/id/3596716/"
"1000126306";"Конструктор LEGO DUPLO Town Конюшня для лошади и пони 10951";"2399";"Венгрия";"2989";"https://www.detmir.ru/product/index/id/3405531/"
"1000162240";"Конструктор LEGO Friends Гранд-отель Хартлейк Сити 41684";"11389";"Венгрия";"null";"https://www.detmir.ru/product/index/id/3596784/"
"1000126359";"Конструктор LEGO City Fire Команда пожарных 60282";"5989";"Чехия";"null";"https://www.detmir.ru/product/index/id/3405584/"
"1000162502";"Конструктор LEGO Super Heroes Корабль Стражей 76193";"17749";"Чехия";"null";"https://www.detmir.ru/product/index/id/3597030/"
